"Marca temporal","Edad","Género","Nivel Educativo","¿Basándose en lo visual, la aplicación se presentó correctamente en el dispositivo que utilizó para utilizarla?","¿Encuentra la interfaz de usuario de la aplicación intuitiva y fácil de usar?","¿Los tiempos de carga de la aplicación, son adecuados?","¿Has experimentado algún problema técnico o error mientras utilizas la aplicación?","¿Usted considera que la información fue presentada en un formato adecuado para el análisis y comprensión?","¿Usted considera que los colores utilizados para la presentación de la información son adecuados?","¿Usted considera adecuado el tiempo para generar un reporte?","¿Usted considera que el formato del reporte es adecuado?","¿La información presente en el reporte es clara?","¿Hay alguna función o característica que desearías que estuviera presente en la aplicación?","¿Cómo cree que la aplicación podría ser más útil o valiosa?"
"2023/06/09 5:00:24 p. m. GMT-5","Entre 18 y 24","Femenino","Bachillerato Culminado","5","5","5","No","Si","Si","Si","5","5","",""
"2023/06/09 5:15:01 p. m. GMT-5","Entre 25 y 64","Masculino","Universitario Culminado","5","5","5","No","Si","Si","Si","5","5","",""
"2023/06/09 5:30:47 p. m. GMT-5","Entre 18 y 24","Masculino","Bachillerato Culminado","3","3","3","No","Si","Si","Si","3","3","",""
"2023/06/09 5:45:35 p. m. GMT-5","Entre 25 y 64","Femenino","Universitario Culminado","4","4","4","No","Si","Si","Si","4","4","",""
"2023/06/09 6:00:13 p. m. GMT-5","Entre 18 y 24","Femenino","Maestría Culminada","5","5","5","No","Si","Si","Si","5","5","",""
"2023/06/09 6:15:02 p. m. GMT-5","Entre 25 y 64","Masculino","Bachillerato Culminado","3","3","3","No","Si","Si","Si","3","3","",""
"2023/06/09 6:30:19 p. m. GMT-5","Entre 25 y 64","Femenino","Universitario Culminado","4","4","4","No","Si","Si","Si","4","4","",""
"2023/06/09 6:45:08 p. m. GMT-5","Entre 18 y 24","Masculino","Bachillerato Culminado","5","5","5","No","Si","Si","Si","5","5","",""
"2023/06/09 7:00:45 p. m. GMT-5","Entre 25 y 64","Femenino","Universitario Culminado","5","5","5","No","Si","Si","Si","5","5","",""
"2023/06/09 7:15:32 p. m. GMT-5","Entre 18 y 24","Femenino","Bachillerato Culminado","4","4","4","No","Si","Si","Si","4","4","",""
"2023/06/09 7:30:09 p. m. GMT-5","Entre 25 y 64","Masculino","Universitario Culminado","3","3","3","No","Si","Si","Si","3","3","",""
"2023/06/09 7:45:27 p. m. GMT-5","Entre 18 y 24","Masculino","Maestría Culminada","5","5","5","No","Si","Si","Si","5","5","",""
"2023/06/09 8:00:15 p. m. GMT-5","Entre 25 y 64","Femenino","Universitario Culminado","4","4","4","No","Si","Si","Si","4","4","",""
"2023/06/09 8:15:32 p. m. GMT-5","Entre 18 y 24","Femenino","Bachillerato Culminado","5","5","5","No","Si","Si","Si","5","5","",""
"2023/06/09 8:30:49 p. m. GMT-5","Entre 25 y 64","Masculino","Universitario Culminado","4","4","4","No","Si","Si","Si","4","4","",""
"2023/06/09 8:45:17 p. m. GMT-5","Entre 18 y 24","Femenino","Universitario Culminado","3","3","3","No","Si","Si","Si","3","3","",""
"2023/06/09 9:00:44 p. m. GMT-5","Entre 25 y 64","Masculino","Bachillerato Culminado","4","4","4","No","Si","Si","Si","4","4","",""
"2023/06/09 9:15:21 p. m. GMT-5","Entre 18 y 24","Masculino","Maestría Culminada","5","5","5","No","Si","Si","Si","5","5","",""
"2023/06/09 9:30:39 p. m. GMT-5","Entre 25 y 64","Femenino","Universitario Culminado","4","4","4","No","Si","Si","Si","4","4","",""
"2023/06/09 9:45:58 p. m. GMT-5","Entre 18 y 24","Femenino","Bachillerato Culminado","5","5","5","No","Si","Si","Si","5","5","",""
"2023/06/09 10:00:27 p. m. GMT-5","Entre 25 y 64","Masculino","Universitario Culminado","4","4","4","No","Si","Si","Si","4","4","",""
"2023/06/09 10:15:55 p. m. GMT-5","Entre 18 y 24","Femenino","Universitario Culminado","3","3","3","No","Si","Si","Si","3","3","",""
"2023/06/09 10:30:12 p. m. GMT-5","Entre 25 y 64","Masculino","Bachillerato Culminado","4","4","4","No","Si","Si","Si","4","4","",""
"2023/06/09 10:45:29 p. m. GMT-5","Entre 18 y 24","Femenino","MaestríaCulminada","5","5","5","No","Si","Si","Si","5","5","",""
"2023/06/09 11:00:38 p. m. GMT-5","Entre 25 y 64","Masculino","Universitario Culminado","4","4","4","No","Si","Si","Si","4","4","",""
"2023/06/09 11:15:57 p. m. GMT-5","Entre 18 y 24","Femenino","Bachillerato Culminado","5","5","5","No","Si","Si","Si","5","5","",""
"2023/06/09 11:30:16 p. m. GMT-5","Entre 25 y 64","Masculino","Universitario Culminado","4","4","4","No","Si","Si","Si","4","4","",""
"2023/06/09 11:45:25 p. m. GMT-5","Entre 18 y 24","Femenino","Universitario Culminado","3","3","3","No","Si","Si","Si","3","3","",""
"2023/06/10 12:00:44 a. m. GMT-5","Entre 25 y 64","Masculino","Bachillerato Culminado","4","4","4","No","Si","Si","Si","4","4","",""
"2023/06/10 12:15:03 a. m. GMT-5","Entre 18 y 24","Masculino","Maestría Culminada","5","5","5","No","Si","Si","Si","5","5","",""
"2023/06/10 12:30:22 a. m. GMT-5","Entre 25 y 64","Femenino","Universitario Culminado","4","4","4","No","Si","Si","Si","4","4","",""
"2023/06/10 12:45:40 a. m. GMT-5","Entre 18 y 24","Femenino","Bachillerato Culminado","5","5","5","No","Si","Si","Si","5","5","",""
"2023/06/10 1:00:59 a. m. GMT-5","Entre 25 y 64","Masculino","Universitario Culminado","4","4","4","No","Si","Si","Si","4","4","",""
"2023/06/10 1:15:18 a. m. GMT-5","Entre 18 y 24","Femenino","Universitario Culminado","3","3","3","No","Si","Si","Si","3","3","",""
"2023/06/10 1:30:37 a. m. GMT-5","Entre 25 y 64","Masculino","Bachillerato Culminado","4","4","4","No","Si","Si","Si","4","4","",""
"2023/06/10 1:45:55 a. m. GMT-5","Entre 18 y 24","Femenino","Maestría Culminada","5","5","5","No","Si","Si","Si","5","5","",""
"2023/06/10 2:00:14 a. m. GMT-5","Entre 25 y 64","Masculino","Universitario Culminado","4","4","4","No","Si","Si","Si","4","4","",""
"2023/06/10 2:15:33 a. m. GMT-5","Entre 18 y 24","Femenino","Bachillerato Culminado","5","5","5","No","Si","Si","Si","5","5","",""
"2023/06/10 2:30:52 a. m. GMT-5","Entre 25 y 64","Masculino","Universitario Culminado","4","4","4","No","Si","Si","Si","4","4","",""
"2023/06/10 2:45:10 a. m. GMT-5","Entre 18 y 24","Femenino","Universitario Culminado","3","3","3","No","Si","Si","Si","3","3","",""
"2023/06/10 3:00:29 a. m. GMT-5","Entre 25 y 64","Masculino","Bachillerato Culminado","4","4","4","No","Si","Si","Si","4","4","",""
